"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"4810151025816";"125650067";"325244962";"325245064";;"Белита Cosmetics Безупречное очищение Энзимная пудра для умывания ""Минеральное очищение"" 53 мл";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-09-21 09:55:54";"Средство для умывания";"'0.50";"'0.2";"0";"0";"0";"0";"375.00";;;;;"0%"
"KIT4810153035868";"125650858";"325246994";"325247012";;"Очищающая МАСКА-ШИПУЧКА для лица КИСЛОРОДНАЯ БОМБА, 2х7мл., саше,,VITAMIN ACTIVE,, (3 уп)";"VITAMIN ACTIVE";"Продается";"Показывается";;"Показывается";;"2021-09-21 09:58:40";"Сыворотки и дополнительный уход для лица";"'0.50";"'0.3";"0";"0";"100";"0";"250.00";;;;;"0%"
"ТЦЦZD003323";"125651491";"325248376";"325248434";;"Витэкс Блеск и Питание Бальзам-сияние Масло арганы+жидкий шелк для всех типов волос, 500 мл";"Витэкс";"Продается";"Показывается";;"Показывается";;"2021-09-21 10:00:45";"Бальзам, кондиционер для волос женский";"'1.09";"'0.6";"0";"0";"17";"0";"345.00";;;"140.00";"https://sbermegamarket.ru/catalog/details/balzam-dlya-volos-viteks-blesk-i-pitanie-maslo-argany-zhidkiy-shelk-500-ml-100024068787";"0%"
"4810153030382";"125653476";"325252728";"325252785";;"Маска-скраб для лица Витэкс ""Полирующая"" с бамбуковым углем, саше 2х7 мл";;"Готов к продаже";"Показывается";;"Показывается";;"2021-09-21 10:05:59";"Маска для лица косметическая";"'1.01";"'0.2";"0";"0";"0";"0";"120.00";;;;;"0%"
"4810153032690";"125662754";"325269226";"325269235";;"ПАРАФИНОТЕРАПИЯ Крем-компресс с мочевиной против трещин,мозолей и натоптышей,75мл";"Витэкс";"Готов к продаже";"Показывается";;"Показывается";;"2021-09-21 10:23:06";"Крем, гель детский";"'0.50";"'0.2";"0";"0";"0";"0";"300.00";;;;;"0%"
"6970885981814";"125666684";"325277341";"325277381";;"Etude Organix  матирующие салфетки для ЛИЦА с ВУЛКАНИЧЕСКОЙ ЛАВОЙ и бамбуковым углем 50 шт/упак";"Etude Organix";"Готов к продаже";"Показывается";;"Показывается";;"2021-09-21 10:33:02";"Салфетки матирующие";"'0.45";"'0.1";"0";"0";"0";"0";"200.00";;;"167.00";"https://utkonos.ru/item/3375890";"0%"
"6970885981807";"125666981";"325277876";"325277877";;"Etude Organix  матирующие салфетки для ЛИЦА с ЗЕЛЕНЫМ ЧАЕМ и экстрактом вулканического пепла 50шт/упак";"Etude Organix";"Готов к продаже";"Показывается";;"Показывается";;"2021-09-21 10:33:36";"Салфетки матирующие";"'0.45";"'0.1";"0";"0";"0";"0";"195.00";;;"133.00";"https://wildberries.ru/catalog/6028040/detail.aspx";"0%"
"4810151017002";"125667352";"325278293";"325278301";;" Amore Основа-праймер под макияж, 30 мл";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-09-21 10:34:08";"Основа под макияж";"'0.12";"'0.1";"0";"0";"0";"0";"350.00";;;"265.00";"https://wildberries.ru/catalog/25752975/detail.aspx";"0%"
"4810151013264";"125667648";"325278753";"325278777";;"Крем-корректор тональный Белита, для проблемной кожи, №001, 20 мл";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-09-21 10:34:45";"Тональное средство";"'0.07";"'0.1";"0";"0";"0";"0";"200.00";;;"121.00";"https://eapteka.ru/goods/id258925/";"0%"
"4810151018931";"125667796";"325279184";"325279185";;"Белита Cosmetics Тушь для ресниц ""LUXURY"" Королевский объем, BIELITA BITЭКС, 12мл.";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-09-21 10:35:17";"Тушь для ресниц";"'1.36";"'0.3";"0";"0";"0";"0";"485.00";;;;;"0%"
"4810153007056";"125668333";"325280428";"325280452";;"Средство для удаления кутикулы Bitэкс, с маслом пихты и чайного дерева, 20 мл";;"Не продается";"Показывается";;"Показывается";;"2021-09-21 10:36:49";"Средство для улучшения ногтей и кутикулы";"'0.08";"'0.0";"0";"0";"0";"0";"250.00";;;;;"0%"
"4810156046663";"125668456";"325280730";"325280771";;"Belor Design Набор для скульптурирования лица SCULPTING TRIO(скульптор,хайлайтер,румяна)№1";"Belor Design";"Готов к продаже";"Показывается";;"Показывается";;"2021-09-21 10:37:17";"Румяна";"'0.17";"'0.1";"0";"0";"0";"0";"680.00";;;;;"0%"
"4811329022613";"125668708";"325281016";"325281042";;"LUXVISAGE Гель для бровей фиксатор ""LUXVISAGE Brow fixing""";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-09-21 10:37:45";"Карандаш для бровей";"'0.03";"'0.0";"0";"0";"0";"0";"250.00";;;"300.00";"https://lamoda.ru/p/lu026lwhjol4";"0%"
"4811329030946";"125668838";"325281485";"325282157";;"LUXVISAGE Подводка для глаз Matt INK waterproof водостойкая матовая, тон Черная";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-09-21 10:38:19";"Подводка для глаз";"'0.02";"'0.0";"0";"0";"0";"0";"300.00";;;"141.00";"https://sbermegamarket.ru/catalog/details/podvodka-dlya-glaz-luxvisage-matt-ink-waterproof-chernaya-600000759620";"0%"
"KR-00008562";"134961202";"341212279";"341212304";;"Набор косметики для ухода за кожей Vinogradoff Натуральный фитодепилятор для лица и самых нежных участков кожи с ANTI-AGE эффектом, 15 мл";"Vinogradoff";"Продается";"Показывается";;"Показывается";;"2021-10-05 18:29:03";"Набор косметики для ухода за телом женский";"'1.00";"'0.2";"0";"0";"5";"0";"106.00";;;;;"0%"
"PLL00001342";"135262993";"341671841";"341671873";;"LUXVISAGE, Румяна Silk Dream, тон 2";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-10-06 06:16:10";"Румяна";"'1.34";"'0.3";"0";"0";"11";"0";"421.00";;;;;"0%"
"KR-00007001";"135294508";"341704085";"341704108";;"Fito Косметик Гель-energizer для умывания ""C+Citrus"" для сияния кожи с омолаживающим комплексом AntiagEnz";"Fito Косметик";"Продается";"Показывается";;"Показывается";;"2021-10-06 06:41:18";"Средство для умывания";"'0.47";"'0.3";"0";"0";"5";"0";"304.00";;;"155.00";"https://market.yandex.ru/product--/1424039112/?sku=101429582529";"0%"
"PT-00005603";"135301122";"341713300";"341713335";;"Elpaza Rubber Top / Топовое покрытие для гель-лака без липкого слоя 10 ml";"Elpaza";"Продается";"Показывается";;"Показывается";;"2021-10-06 06:45:18";"Защитный лак, верхнее покрытие";"'0.19";"'0.1";"0";"0";"37";"0";"195.00";;;"170.00";"https://wildberries.ru/catalog/26071471/detail.aspx";"0%"
"KR-00001223";"135303460";"341718188";"341718218";;"МУМИЁ Крем для тела против целлюлита и растяжек 150г";"Белита Cosmetics";"Не продается";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"Скрыт";"Отсутствие документов на бренд
Название бренда искажено, внесите исправления";"2021-10-06 06:46:57";"Крем, гель детский";"'0.50";"'0.2";"0";"0";"8";"0";"273.00";;;"185.00";"https://wildberries.ru/catalog/8250393/detail.aspx";"0%"
"KR-00005843";"135306483";"341721301";"341721337";;"LUXURY 3D Объем Губная помада тон 402 (трепетный бежевый)";"Витэкс";"Продается";"Показывается";;"Показывается";;"2021-10-06 06:48:00";"Помада для губ";"'0.04";"'0.1";"0";"0";"6";"0";"331.00";;;"260.00";"https://sbermegamarket.ru/catalog/details/gubnaya-pomada-luxury-3d-obem-ton-402-trepetnyy-bezhevyy-100026055323";"0%"
"PLL00001276";"135315062";"341730331";"341730335";;" СИБИРСКАЯ РАПНАЯ, СОЛЬ ДЛЯ ВАНН ""ХВОЙНАЯ""";"Fito Косметик";"Продается";"Показывается";;"Показывается";;"2021-10-06 06:52:28";"Соль для ванны";"'1.31";"'0.5";"0";"0";"14";"0";"154.00";;;"72.00";"https://market.yandex.ru/product--/653339352/?sku=653339352";"0%"
"PT-00002616";"135315939";"341732373";"341732375";;"Lux Visage Пудра-фиксатор Expert Matt, бесцветная";"LUXVISAGE";"Не продается";"Скрыт";"Отсутствие документов на бренд";"Скрыт";"Отсутствие документов на бренд";"2021-10-06 06:53:50";"Пудра";"'0.20";"'0.0";"0";"0";"13";"0";"501.00";;;"242.00";"https://wildberries.ru/catalog/10970931/detail.aspx";"0%"
"AUT00000481";"138939661";"347992002";"347992020";;"Витэкс Бальзам-шелк для улучшения эластичности волос, 450 мл";"Витэкс";"Продается";"Показывается";;"Показывается";;"2021-10-12 05:17:29";"Бальзам, кондиционер для волос женский";"'0.81";"'0.5";"0";"0";"4";"0";"238.00";;;"141.00";"https://sbermegamarket.ru/catalog/details/balzam-dlya-volos-viteks-dlya-uluchsheniya-elastichnosti-volos-450-ml-100023451632";"0%"
"PLL00001036";"138940249";"347992549";"347992572";;"Severina Обезжириватель для ногтей/ жидкость для снятия липкого слоя CLEANER, 100 мл";"Severina";"Продается";"Показывается";;"Показывается";;"2021-10-12 05:20:53";"Средство для снятия лака";"'0.20";"'0.1";"0";"0";"26";"0";"180.00";;;"126.00";"https://wildberries.ru/catalog/18427076/detail.aspx";"0%"
"GLB00001304";"138940367";"347992736";"347992772";;"Соль для ванн Бишофитная для снижения веса Фито Косметик";"Нет бренда";"Готов к продаже";"Показывается";;"Показывается";;"2021-10-12 05:22:31";"Соль для ванны";"'2.00";"'0.5";"0";"0";"0";"0";"154.00";;;;;"0%"
"KR-00005889";"138940732";"347993366";"347993407";;"Белита Безупречное очищение Пилинг-скатка для лица ""Минеральное очищение и матирование"" 75 мл";"Белита";"Не продается";"Скрыт";"Не подтверждены права на реализацию бренда";"Скрыт";"Не подтверждены права на реализацию бренда";"2021-10-12 05:25:45";"Сыворотки и дополнительный уход для лица";"'0.50";"'0.2";"0";"0";"12";"0";"291.00";;;;;"0%"
